phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target,banking_match_source,banking_match_term
9399409,https://resona-card.qmyz88.com/eaywrtxx/?auth=screen%3Dt54nrviGQ,http://www.phishtank.com/phish_detail.php?phish_id=9399409,2026-04-21T00:49:32+00:00,yes,2026-04-21T01:02:48+00:00,yes,Other,url_keyword,card
9399263,https://crvisai.eu.cc/home.html,http://www.phishtank.com/phish_detail.php?phish_id=9399263,2026-04-20T20:56:05+00:00,yes,2026-04-20T21:02:52+00:00,yes,Visa,target_exact,visa
9399261,https://crrvisa.eu.cc/home.html,http://www.phishtank.com/phish_detail.php?phish_id=9399261,2026-04-20T20:55:53+00:00,yes,2026-04-20T21:02:52+00:00,yes,Visa,target_exact,visa
9399260,https://visad-cr.eu.cc/home.html,http://www.phishtank.com/phish_detail.php?phish_id=9399260,2026-04-20T20:55:42+00:00,yes,2026-04-20T21:02:52+00:00,yes,Visa,target_exact,visa
9399259,https://visae-cr.eu.cc/home.html,http://www.phishtank.com/phish_detail.php?phish_id=9399259,2026-04-20T20:55:30+00:00,yes,2026-04-20T21:02:52+00:00,yes,Visa,target_exact,visa
9399258,https://visaaa.eu.cc/home.html,http://www.phishtank.com/phish_detail.php?phish_id=9399258,2026-04-20T20:55:21+00:00,yes,2026-04-20T21:02:52+00:00,yes,Visa,target_exact,visa
9399257,https://visag-cr.eu.cc/home.html,http://www.phishtank.com/phish_detail.php?phish_id=9399257,2026-04-20T20:55:07+00:00,yes,2026-04-20T21:02:52+00:00,yes,Visa,target_exact,visa
9399252,https://app.protecaocompleta.click/inicio,http://www.phishtank.com/phish_detail.php?phish_id=9399252,2026-04-20T20:41:01+00:00,yes,2026-04-20T21:02:52+00:00,yes,Bradesco,target_exact,bradesco
9399251,https://app.protecaocompleta.app/inicio,http://www.phishtank.com/phish_detail.php?phish_id=9399251,2026-04-20T20:41:00+00:00,yes,2026-04-20T21:02:52+00:00,yes,Bradesco,target_exact,bradesco
9399250,https://app.protecaocompleta.pro/inicio,http://www.phishtank.com/phish_detail.php?phish_id=9399250,2026-04-20T20:40:58+00:00,yes,2026-04-20T21:02:52+00:00,yes,Bradesco,target_exact,bradesco
9399249,https://app.protecaocompleta.digital/inicio,http://www.phishtank.com/phish_detail.php?phish_id=9399249,2026-04-20T20:40:57+00:00,yes,2026-04-20T21:02:52+00:00,yes,Bradesco,target_exact,bradesco
9399248,https://app.protecaocompleta.site/inicio,http://www.phishtank.com/phish_detail.php?phish_id=9399248,2026-04-20T20:40:56+00:00,yes,2026-04-20T21:02:52+00:00,yes,Bradesco,target_exact,bradesco
9399245,http://82.153.205.2/control.php,http://www.phishtank.com/phish_detail.php?phish_id=9399245,2026-04-20T20:40:42+00:00,yes,2026-04-20T20:52:12+00:00,yes,Bradesco,target_exact,bradesco
9399244,http://82.153.205.2,http://www.phishtank.com/phish_detail.php?phish_id=9399244,2026-04-20T20:40:41+00:00,yes,2026-04-20T20:52:12+00:00,yes,Bradesco,target_exact,bradesco
9399243,https://record.es-verifica.online/forgotten/login.php,http://www.phishtank.com/phish_detail.php?phish_id=9399243,2026-04-20T20:40:39+00:00,yes,2026-04-20T20:52:12+00:00,yes,Bradesco,target_exact,bradesco
9399242,https://bradesco.chavenetempresa.click/inicio,http://www.phishtank.com/phish_detail.php?phish_id=9399242,2026-04-20T20:40:37+00:00,yes,2026-04-20T20:52:12+00:00,yes,Bradesco,target_exact,bradesco
9399241,https://bradesco.clientenetempresas.click/inicio,http://www.phishtank.com/phish_detail.php?phish_id=9399241,2026-04-20T20:40:36+00:00,yes,2026-04-20T20:52:12+00:00,yes,Bradesco,target_exact,bradesco
9399240,https://bradesco.empresatotal.click/inicio,http://www.phishtank.com/phish_detail.php?phish_id=9399240,2026-04-20T20:40:35+00:00,yes,2026-04-20T20:52:12+00:00,yes,Bradesco,target_exact,bradesco
9399239,https://bradesco.chatempresas.click/app/wd/index.php?p=acesso&amp;auth=oikgZfCrpkuFeJRPhPXqW67DMUrt29wxOuyuJoUEHfuacEojEM3MvHwWg4lctkd8BqK2CTdItMkqeKkEZq2WF4fKFosWiDcS399lRgMxwdke321gPj3ilTnLBka24s3O4CMKMKaKoDnwpWOr4pIoaE,http://www.phishtank.com/phish_detail.php?phish_id=9399239,2026-04-20T20:40:34+00:00,yes,2026-04-20T20:52:12+00:00,yes,Bradesco,target_exact,bradesco
9399238,https://bradesco.netempresacomercial.click/inicio,http://www.phishtank.com/phish_detail.php?phish_id=9399238,2026-04-20T20:40:32+00:00,yes,2026-04-20T20:52:12+00:00,yes,Bradesco,target_exact,bradesco
9399237,https://bradesco.appempresa.click/inicio,http://www.phishtank.com/phish_detail.php?phish_id=9399237,2026-04-20T20:40:31+00:00,yes,2026-04-20T20:52:12+00:00,yes,Bradesco,target_exact,bradesco
9399235,https://bradesco.appnetempresa.click/inicio,http://www.phishtank.com/phish_detail.php?phish_id=9399235,2026-04-20T20:40:19+00:00,yes,2026-04-20T20:52:12+00:00,yes,Bradesco,target_exact,bradesco
