phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target,banking_match_source,banking_match_term,domain,path,query,url_text,url_length,domain_length,num_dots,num_hyphens,num_digits,path_depth,query_string_length,uses_https,suspicious_keyword_count,finance_keyword_count,brand_keyword_count,tld,subdomain_count,contains_banking_keyword,is_suspicious_tld,kw_abn,kw_absa,kw_account,kw_amex,kw_auth,kw_authenticate,kw_banco,kw_bank,kw_banking,kw_barclays,kw_bbva,kw_billing,kw_binance,kw_bradesco,kw_capitalone,kw_card,kw_cashapp,kw_chase,kw_citi,kw_citibank,kw_client,kw_coinbase,kw_confirm,kw_credential,kw_credit,kw_customer,kw_debit,kw_finance,kw_financial,kw_hsbc,kw_ing,kw_jpmorgan,kw_login,kw_logon,kw_mastercard,kw_natwest,kw_password,kw_payment,kw_paypal,kw_portal,kw_recover,kw_santander,kw_scotiabank,kw_secure,kw_security,kw_signin,kw_support,kw_unicredit,kw_update,kw_validate,kw_verification,kw_verify,kw_visa,kw_wallet,kw_wellsfargo,url_pattern_cluster
9399409,https://resona-card.qmyz88.com/eaywrtxx/?auth=screen%3Dt54nrviGQ,http://www.phishtank.com/phish_detail.php?phish_id=9399409,2026-04-21T00:49:32+00:00,yes,2026-04-21T01:02:48+00:00,yes,Other,url_keyword,card,resona-card.qmyz88.com,/eaywrtxx/,auth=screen%3Dt54nrviGQ,resona card qmyz88 com eaywrtxx auth screen 3dt54nrvigq auth screen t54nrvigq,64,22,2,1,5,1,23,1,2,1,0,com,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
9399263,https://crvisai.eu.cc/home.html,http://www.phishtank.com/phish_detail.php?phish_id=9399263,2026-04-20T20:56:05+00:00,yes,2026-04-20T21:02:52+00:00,yes,Visa,target_exact,visa,crvisai.eu.cc,/home.html,,crvisai eu cc home html,31,13,3,0,0,1,0,1,0,1,1,cc,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
9399261,https://crrvisa.eu.cc/home.html,http://www.phishtank.com/phish_detail.php?phish_id=9399261,2026-04-20T20:55:53+00:00,yes,2026-04-20T21:02:52+00:00,yes,Visa,target_exact,visa,crrvisa.eu.cc,/home.html,,crrvisa eu cc home html,31,13,3,0,0,1,0,1,0,1,1,cc,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
9399260,https://visad-cr.eu.cc/home.html,http://www.phishtank.com/phish_detail.php?phish_id=9399260,2026-04-20T20:55:42+00:00,yes,2026-04-20T21:02:52+00:00,yes,Visa,target_exact,visa,visad-cr.eu.cc,/home.html,,visad cr eu cc home html,32,14,3,1,0,1,0,1,0,1,1,cc,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
9399259,https://visae-cr.eu.cc/home.html,http://www.phishtank.com/phish_detail.php?phish_id=9399259,2026-04-20T20:55:30+00:00,yes,2026-04-20T21:02:52+00:00,yes,Visa,target_exact,visa,visae-cr.eu.cc,/home.html,,visae cr eu cc home html,32,14,3,1,0,1,0,1,0,1,1,cc,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
9399258,https://visaaa.eu.cc/home.html,http://www.phishtank.com/phish_detail.php?phish_id=9399258,2026-04-20T20:55:21+00:00,yes,2026-04-20T21:02:52+00:00,yes,Visa,target_exact,visa,visaaa.eu.cc,/home.html,,visaaa eu cc home html,30,12,3,0,0,1,0,1,0,1,1,cc,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
9399257,https://visag-cr.eu.cc/home.html,http://www.phishtank.com/phish_detail.php?phish_id=9399257,2026-04-20T20:55:07+00:00,yes,2026-04-20T21:02:52+00:00,yes,Visa,target_exact,visa,visag-cr.eu.cc,/home.html,,visag cr eu cc home html,32,14,3,1,0,1,0,1,0,1,1,cc,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
9399252,https://app.protecaocompleta.click/inicio,http://www.phishtank.com/phish_detail.php?phish_id=9399252,2026-04-20T20:41:01+00:00,yes,2026-04-20T21:02:52+00:00,yes,Bradesco,target_exact,bradesco,app.protecaocompleta.click,/inicio,,app protecaocompleta click inicio,41,26,2,0,0,1,0,1,0,0,0,click,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
9399251,https://app.protecaocompleta.app/inicio,http://www.phishtank.com/phish_detail.php?phish_id=9399251,2026-04-20T20:41:00+00:00,yes,2026-04-20T21:02:52+00:00,yes,Bradesco,target_exact,bradesco,app.protecaocompleta.app,/inicio,,app protecaocompleta app inicio,39,24,2,0,0,1,0,1,0,0,0,app,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
9399250,https://app.protecaocompleta.pro/inicio,http://www.phishtank.com/phish_detail.php?phish_id=9399250,2026-04-20T20:40:58+00:00,yes,2026-04-20T21:02:52+00:00,yes,Bradesco,target_exact,bradesco,app.protecaocompleta.pro,/inicio,,app protecaocompleta pro inicio,39,24,2,0,0,1,0,1,0,0,0,pro,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
